CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
41573,CS,128,Intro to Computer Science II,AL1,OLC,120245,"Nowak, Michael",0,65,4,5,3,2,0,1,2,0,3,0,5,0,3.49
37192,CS,411,Database Systems,DSO,ONL,120245,"Chang, Kevin C",56,93,6,8,2,1,1,1,0,0,0,0,2,0,3.87
40317,CS,411,Database Systems,S3,ONL,120245,"Alawini, Abdussalam A",6,70,7,7,4,5,1,1,0,0,0,0,0,0,3.79
41346,CS,416,Data Visualization,DSO,ONL,120245,"Hart, John C",233,117,16,9,5,4,1,2,0,0,1,0,1,1,3.91
41345,CS,416,Data Visualization,DV4,ONL,120245,"Hart, John C",67,38,11,1,6,1,3,5,1,0,0,0,2,0,3.74
37194,CS,421,Progrmg Languages & Compilers,DSO,ONL,120245,"Beckman, Mattox A",28,28,7,5,5,1,1,2,0,0,0,0,3,1,3.63
30792,CS,421,Progrmg Languages & Compilers,PU,ONL,120245,"Beckman, Mattox A",34,27,14,7,6,5,3,3,1,2,1,2,7,0,3.31
41654,CS,519,Scientific Visualization,DSO,ONL,120245,"Shaffer, Eric G",8,160,63,14,10,0,1,1,0,0,3,0,2,0,3.77
41653,CS,519,Scientific Visualization,SVG,ONL,120245,"Shaffer, Eric G",0,18,5,1,3,0,0,0,0,0,0,0,0,0,3.8
40021,CS,598,Data Mining Capstone,DM,ONL,120245,"Farivar, Reza",8,15,0,0,1,0,0,0,0,0,0,0,0,0,3.96
36010,DANC,100,Intro to Contemporary Dance,OL1,ONL,120245,"Amiri, Banafsheh",9,14,1,0,0,1,1,0,0,0,0,0,0,0,3.87
40642,DANC,100,Intro to Contemporary Dance,OL2,ONL,120245,"Segale, Magdalyn L",0,19,0,0,1,1,0,0,1,1,1,0,1,0,3.43
41847,DANC,340,Dancing Black Popular Culture,OL1,ONL,120245,"Owens, Nikolas C",0,3,5,12,3,5,1,0,1,0,2,1,0,2,3.01
41236,ECE,120,Introduction to Computing,AL1,OLC,120245,"Bhowmik, Ujjal K",6,3,4,4,3,2,1,4,1,1,0,0,3,0,2.86
40788,ECE,210,Analog Signal Processing,ONL,ONL,120245,"Chen, Xu",6,4,7,8,4,3,3,1,3,3,0,1,1,6,2.98
38727,ECE,220,Computer Systems & Programming,ONL,ONL,120245,"Moon, Thomas",2,5,5,4,9,5,2,5,2,0,2,2,1,2,2.76
