CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A Range,B Range,C Range,D Range,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
30705,BADM,567,Process Management,A,LCD,120185,"Chhajed, Dilip",,,,,1,7,11,14,3,1,1,0,0,0,0,0,0,0,3.5
35684,BADM,567,Process Management,B,LCD,120185,"Chhajed, Dilip",,,,,2,12,19,6,4,1,0,0,0,0,0,0,0,0,3.65
36402,BADM,572,Stat for Mgt Decision Making,OL,ONL,120185,"Anand, Gopesh J",,,,,3,11,9,3,3,0,1,0,2,0,0,0,0,0,3.55
39682,BADM,588,Business Practice Immersion,I,LEC,120185,"Chhajed, Dilip",,,,,2,14,4,0,1,0,0,0,0,0,0,0,0,0,3.89
38568,BADM,590,Digital Marketing Analytics,IM2,ONL,120185,"Hartman, Kevin E",,,,,196,79,7,3,0,0,0,0,0,0,0,0,4,0,3.93
35926,BADM,590,Fostering Creative Thinking,IMB,ONL,120185,"Loewenstein, Jeffrey",,,,,134,208,56,19,9,2,0,3,0,1,1,0,0,0,3.87
38413,BADM,590,Digital Marketing Analytics,ON4,ONL,120185,"Hartman, Kevin E",,,,,51,12,1,1,1,0,0,0,0,0,0,0,8,0,3.54
39224,BADM,590,Fostering Creative Thinking,ONL,ONL,120185,"Loewenstein, Jeffrey",,,,,7,20,3,1,4,1,0,0,0,0,0,0,2,0,3.61
34225,BADM,590,Human Resource Management,PMB,ONL,120185,"Lamare, James R",,,,,0,22,2,1,1,1,0,1,0,0,0,0,0,0,3.8
36350,BTW,250,Principles Bus Comm,OL3,ONL,120185,"Emmert, Kay",,,,,1,4,3,6,3,2,1,0,0,0,0,0,1,0,3.22
30822,CHEM,102,General Chemistry I,AL1,LEC,120185,"Gunasekera, Mutha Merenna",,,,,0,2,4,3,8,0,2,5,6,4,0,5,2,0,2.2
38250,CHEM,102,General Chemistry I,O,ONL,120185,"Marville, Kelly",,,,,3,1,1,4,7,6,6,6,3,3,3,3,13,2,1.86
30828,CHEM,103,General Chemistry Lab I,11,LAB,120185,"Ritthamel, Jake R",,,,,0,19,12,3,3,1,0,0,1,0,0,0,0,0,3.68
